Q14865364	dopamine:sodium symporter activity	Q22290488	dopamine uptake
Q22320405	11-cis-retinyl-palmitate hydrolase activity	Q14864352	retinol metabolic process
Q22321742	lipopolysaccharide 3-alpha-galactosyltransferase activity	Q21136059	lipopolysaccharide biosynthetic process
Q22321777	lipopolysaccharide N-acetylglucosaminyltransferase activity	Q21136059	lipopolysaccharide biosynthetic process
Q22320485	3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing	Q22280686	mature miRNA 3'-end processing
Q22320489	endoribonuclease activity involved in viral induction of host mRNA catabolic process	Q22260696	induction by virus of host endonucleolytic cleavage-dependent mRNA catabolic process
Q22320489	endoribonuclease activity involved in viral induction of host mRNA catabolic process	Q22280870	cleavage by virus of host mRNA
Q22320513	5'-3' exodeoxyribonuclease activity involved in UV-damage excision repair	Q21108210	UV-damage excision repair
Q22320529	retroviral 3' processing activity	Q22315685	retroviral integrase activity
Q22320610	silver ion transmembrane transporter activity	Q22292915	silver ion transmembrane transport
Q22320618	ATPase-coupled arsenite transmembrane transporter activity	Q21756852	arsenite transport
Q22320620	organophosphate ester transmembrane transporter activity	Q22290340	organophosphate ester transport
Q22320622	ATPase coupled ion transmembrane transporter activity involved in regulation of presynaptic membrane potential	Q22243624	regulation of presynaptic membrane potential
Q22320623	ATPase coupled ion transmembrane transporter activity involved in regulation of postsynaptic membrane potential	Q863533	postsynaptic potential
Q22320627	divalent inorganic cation transmembrane transporter activity	Q22293110	divalent inorganic cation transport
Q22320634	ferric-enterobactin transmembrane transporter activity	Q22292197	ferric-enterobactin transport
Q22320637	ferric-hydroxamate transmembrane transporter activity	Q22290088	ferric-hydroxamate transport
Q22320639	thiamine pyrophosphate transporter activity	Q22290341	thiamine pyrophosphate transport
Q22320646	amino-acid betaine transmembrane transporter activity	Q22290327	amino-acid betaine transport
Q14633873	protein binding involved in protein folding	Q847556	protein folding
Q14819235	antioxidant activity	Q22271449	cellular oxidant detoxification
Q14820643	signal transducer activity	Q828130	signal transduction
Q14907297	translation regulator activity	Q14863717	regulation of translation
Q15317407	nucleic acid binding transcription factor activity	Q14905278	regulation of RNA biosynthetic process
Q21110826	cargo receptor activity	Q189814	endocytosis
Q22313865	molecular function regulator	Q22260622	regulation of molecular function
Q28054296	toxin activity	Q372016	pathogenesis
Q63771572	cargo adaptor activity	Q14860403	vesicle-mediated transport
Q14819454	peptidase activator activity	Q14819484	positive regulation of peptidase activity
Q14820641	protein kinase activity	Q7251493	protein phosphorylation
Q14851999	protein kinase activator activity	Q14860509	activation of protein kinase activity
Q14859545	G-protein coupled receptor activity	Q14758909	G-protein coupled receptor signaling pathway
Q14859883	ornithine carbamoyltransferase activity	Q14859897	ornithine metabolic process
Q14860440	transcription coactivator activity	Q22253561	positive regulation of nucleic acid-templated transcription
Q14860441	ubiquitin-protein transferase activity	Q3547638	protein ubiquitination
Q14860799	serotonin:sodium symporter activity	Q14860816	serotonin uptake
Q14860800	monoamine transmembrane transporter activity	Q14860809	monoamine transport
Q14864469	G-protein coupled photoreceptor activity	Q14864470	detection of visible light
Q14864500	kinase activator activity	Q14866059	positive regulation of kinase activity
Q14864645	DNA-binding transcription factor activity, RNA polymerase II-specific	Q14852032	regulation of transcription from RNA polymerase II promoter
Q14864664	transcription corepressor activity	Q21096397	negative regulation of nucleic acid-templated transcription
Q14864680	transmembrane receptor protein tyrosine kinase activator activity	Q14864682	activation of transmembrane receptor protein tyrosine kinase activity
Q14864721	histone acetyltransferase activity	Q14908264	histone acetylation
Q14864722	H3 histone acetyltransferase activity	Q14864734	histone H3 acetylation
Q14864723	H4 histone acetyltransferase activity	Q14864735	histone H4 acetylation
Q14865258	retinyl-palmitate esterase activity	Q14864352	retinol metabolic process
Q14860918	oxidative phosphorylation uncoupler activity	Q21761006	hydrogen ion transmembrane transport
Q14861063	peptidase inhibitor activity	Q14861064	negative regulation of peptidase activity
Q14861841	endopeptidase inhibitor activity	Q14859614	negative regulation of endopeptidase activity
Q14863056	glucokinase activity	Q14863085	glucose 6-phosphate metabolic process
Q14863082	kinase activity	Q242736	phosphorylation
Q14863338	protein tyrosine kinase activity	Q14330986	peptidyl-tyrosine phosphorylation
Q14863340	insulin-activated receptor activity	Q14758913	insulin receptor signaling pathway
Q14864106	protein tyrosine kinase activator activity	Q14331083	positive regulation of protein tyrosine kinase activity
Q14864144	structural constituent of cytoskeleton	Q14864151	cytoskeleton organization
Q14864357	chemokine receptor activity	Q14864360	chemokine-mediated signaling pathway
Q14864404	vitamin D3 25-hydroxylase activity	Q14905955	calcitriol biosynthetic process from calciol
Q14349613	oxidoreductase activity	Q14349764	oxidation-reduction process
Q14358476	electron transfer activity	Q211016	electron transport chain
Q14599673	calcidiol 1-monooxygenase activity	Q14905955	calcitriol biosynthetic process from calciol
Q14633873	protein binding involved in protein folding	Q847556	protein folding
Q14645703	peptidase activity	Q33123	proteolysis
Q14762998	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	Q14599311	apoptotic process
Q14762998	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	Q14599551	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
Q14817973	DNA-binding transcription activator activity, RNA polymerase II-specific	Q14818068	positive regulation of transcription from RNA polymerase II promoter
Q14817979	DNA-binding transcription factor activity	Q14633883	regulation of transcription, DNA-templated
Q14817987	histone deacetylase regulator activity	Q15334055	regulation of histone deacetylation
Q14819235	antioxidant activity	Q22271449	cellular oxidant detoxification
Q14819284	oxygen carrier activity	Q14819302	oxygen transport
Q21116061	interleukin-3 receptor activity	Q15331773	cellular response to interleukin-3
Q21116061	interleukin-3 receptor activity	Q21100986	interleukin-3-mediated signaling pathway
Q21116067	interleukin-5 receptor activity	Q21100985	interleukin-5-mediated signaling pathway
Q21116075	interleukin-1, Type I, activating receptor activity	Q14864810	interleukin-1-mediated signaling pathway
Q21116194	L-glutamine transmembrane transporter activity	Q21116193	glutamine transport
Q21116217	L-serine transmembrane transporter activity	Q21116218	L-serine transport
Q21116220	D-serine transmembrane transporter activity	Q21109427	D-serine transport
Q21116402	histone methyltransferase activity (H3-K79 specific)	Q22283728	histone H3-K79 methylation
Q21116565	guanylate cyclase activator activity	Q15328574	positive regulation of guanylate cyclase activity
Q21116590	DNA ligase activity	Q21108478	DNA ligation
Q21116650	pyruvate kinase activity	Q162643	glycolytic process
Q21116738	arginyltransferase activity	Q21116739	protein arginylation
Q21116833	histone kinase activity (H3-S10 specific)	Q21116834	histone H3-S10 phosphorylation
Q21116865	kinase regulator activity	Q21120130	regulation of kinase activity
Q21117461	Lys63-specific deubiquitinase activity	Q21100454	protein K63-linked deubiquitination
Q21117637	glycine transmembrane transporter activity	Q22290679	glycine transport
Q21117708	ammonium transmembrane transporter activity	Q21104714	ammonium transmembrane transport
Q21771376	lipopolysaccharide transmembrane transporter activity	Q14907572	lipopolysaccharide transport
Q21771383	glutathione synthase activity	Q21102178	glutathione biosynthetic process
Q21772110	site-specific DNA-methyltransferase (cytosine-N4-specific) activity	Q22260816	N-4 methylation of cytosine
Q22242439	bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding	Q14818066	positive regulation of transcription, DNA-templated
Q22242444	DNA-binding transcription repressor activity	Q14633919	negative regulation of transcription, DNA-templated
Q22243217	G-protein coupled receptor activity involved in regulation of postsynaptic membrane potential	Q863533	postsynaptic potential
Q22243218	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	Q863533	postsynaptic potential
Q22243227	neurotransmitter receptor activity involved in regulation of presynaptic cytosolic calcium ion concentration	Q22243226	regulation of presynaptic cytosolic calcium ion concentration
Q22243229	neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration	Q22243228	regulation of postsynaptic cytosolic calcium ion concentration
Q22243235	serotonin-gated cation-selective channel activity	Q14891401	serotonin receptor signaling pathway
Q22243242	coreceptor activity involved in epidermal growth factor receptor signaling pathway	Q14864683	epidermal growth factor receptor signaling pathway
Q22243254	transcription factor activity, estrogen-activated RNA polymerase II transcription factor binding	Q14902303	intracellular estrogen receptor signaling pathway
Q22243389	C-C motif chemokine 5 receptor activity	Q22243388	chemokine (C-C motif) ligand 5 signaling pathway
Q22243394	C-C motif chemokine 2 receptor activity	Q22243393	chemokine (C-C motif) ligand 2 signaling pathway
Q22243396	C-X-C motif chemokine 12 receptor activity	Q22243395	chemokine (C-X-C motif) ligand 12 signaling pathway
Q22243403	apelin receptor activity	Q21132228	apelin receptor signaling pathway
Q22314779	template for synthesis of G-rich strand of telomere DNA activity	Q15315110	telomerase activity
Q22314965	mitochondrial RNA polymerase regulatory region sequence-specific DNA binding	Q22325116	mitochondrial sequence-specific DNA-binding transcription factor activity
Q22314969	mitochondrial RNA polymerase core promoter proximal region sequence-specific DNA binding	Q22325116	mitochondrial sequence-specific DNA-binding transcription factor activity
Q22314971	mitochondrial RNA polymerase termination site sequence-specific DNA binding	Q21120062	termination of mitochondrial transcription
Q22314975	mitochondrial RNA polymerase core promoter sequence-specific DNA binding	Q22325116	mitochondrial sequence-specific DNA-binding transcription factor activity
Q22316030	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a dehydrogenase activity	Q22276571	bacteriochlorophyll biosynthetic process
Q22316136	pyruvate dehydrogenase (NAD+) activity	Q14909041	acetyl-CoA biosynthetic process from pyruvate
Q22315489	peptidyl carrier protein activity involved in nonribosomal peptide biosynthesis	Q22276387	nonribosomal peptide biosynthetic process
Q22315674	integrase activity	Q21097432	DNA integration
Q22315679	prophage integrase activity	Q21112679	establishment of integrated proviral latency
Q22315685	retroviral integrase activity	Q22279540	viral genome integration into host DNA
Q22315690	site-specific telomere resolvase activity	Q14872783	telomere maintenance
Q22315798	DNA demethylase activity	Q5205753	DNA demethylation
Q22315807	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	Q22280744	2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis
Q21095102	excitatory extracellular ligand-gated ion channel activity	Q1207387	excitatory postsynaptic potential
Q21095103	calcium-release channel activity	Q14885200	release of sequestered calcium ion into cytosol
Q21095317	recombinase activity	Q14862222	DNA recombination
Q21095347	transmembrane receptor protein serine/threonine kinase activity	Q14904951	transmembrane receptor protein serine/threonine kinase signaling pathway
Q21111511	sialyltransferase activity	Q21111513	sialylation
Q21111527	lipoprotein transporter activity	Q14864559	lipoprotein transport
Q21111714	protein transmembrane transporter activity	Q22290846	protein transmembrane transport
Q21111783	aminoacyl-tRNA editing activity	Q47008962	aminoacyl-tRNA metabolism involved in translational fidelity
Q21112137	translation activator activity	Q14864218	positive regulation of translation
Q21112161	histone kinase activity (H2A-T120 specific)	Q21112162	histone H2A-T120 phosphorylation
Q21112205	NADP-retinol dehydrogenase activity	Q14864352	retinol metabolic process
Q21112372	electron-transferring-flavoprotein dehydrogenase activity	Q14819359	respiratory electron transport chain
Q21112422	fucosyltransferase activity	Q17053974	fucosylation
Q21112465	glycoprotein 6-alpha-L-fucosyltransferase activity	Q21112464	N-glycan fucosylation
Q21112581	transferrin transmembrane transporter activity	Q14860549	transferrin transport
Q21112630	anti-Mullerian hormone receptor activity	Q21428154	anti-Mullerian hormone signaling pathway
Q21418787	interleukin-12 receptor activity	Q14914510	interleukin-12-mediated signaling pathway
Q21418788	interleukin-23 receptor activity	Q21103368	interleukin-23-mediated signaling pathway
Q21421090	galactose transmembrane transporter activity	Q21421089	galactose transport
Q21423025	L-arginine transmembrane transporter activity	Q22290510	L-arginine transmembrane transport
Q21424959	cell adhesive protein binding involved in AV node cell-bundle of His cell communication	Q21424958	AV node cell-bundle of His cell adhesion involved in cell communication
Q21425769	PLC activating G-protein coupled glutamate receptor activity	Q21108452	phospholipase C-activating G-protein coupled glutamate receptor signaling pathway
Q21430110	cyclin-dependent protein kinase activity	Q14818129	regulation of cell cycle
Q21431310	malate transmembrane transporter activity	Q22290620	malate transmembrane transport
Q21431311	thiosulfate transmembrane transporter activity	Q21431312	thiosulfate transport
Q21431314	protein binding involved in heterotypic cell-cell adhesion	Q14905523	heterotypic cell-cell adhesion
Q21431325	histone acetyltransferase activity (H4-K5 specific)	Q21097190	histone H4-K5 acetylation
Q21431326	histone acetyltransferase activity (H4-K8 specific)	Q21097191	histone H4-K8 acetylation
Q21431327	histone acetyltransferase activity (H4-K16 specific)	Q21102205	histone H4-K16 acetylation
Q21433650	guanylate cyclase regulator activity	Q21433651	regulation of guanylate cyclase activity
Q21436621	taurine transmembrane transporter activity	Q21121370	taurine transport
Q21438265	glycerol-3-phosphate transmembrane transporter activity	Q21756234	glycerol-3-phosphate transport
Q21481281	rRNA (guanosine-2'-O-)-methyltransferase activity	Q22280771	rRNA 2'-O-methylation
Q21484291	nucleobase-containing compound transmembrane transporter activity	Q22290359	nucleobase-containing compound transport
Q22319119	prostaglandin H2 endoperoxidase reductase activity	Q14881697	prostaglandin metabolic process
Q22319825	dihydromethanopterin reductase activity	Q22274856	tetrahydromethanopterin biosynthetic process
Q22319942	nitrate reductase activity involved in anaerobic electron transport chain	Q22284468	anaerobic electron transport chain
Q22321068	aspartic acid methylthiotransferase activity	Q21759336	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
Q22321070	N6-isopentenyladenosine methylthiotransferase activity	Q21110413	tRNA methylthiolation
Q22320028	aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	Q14599512	amyloid precursor protein catabolic process
Q22320039	metalloendopeptidase activity involved in amyloid precursor protein catabolic process	Q14599512	amyloid precursor protein catabolic process
Q22320043	cysteine-type endopeptidase activity involved in plant-type hypersensitive response	Q22271831	plant-type hypersensitive response
Q22321138	thiazole synthase activity	Q21198654	thiamine biosynthetic process
Q22321144	phosphatidylinositol kinase activity	Q14887688	phosphatidylinositol phosphorylation
Q22321154	phosphatidylinositol bisphosphate kinase activity	Q14887688	phosphatidylinositol phosphorylation
Q22321227	histone arginine kinase activity	Q22284000	peptidyl-arginine phosphorylation
Q22320077	glucan endo-1,3-beta-D-glucosidase activity involved in ascospore release from ascus	Q22281679	extracellular polysaccharide catabolic process involved in ascospore release from ascus
Q22320077	glucan endo-1,3-beta-D-glucosidase activity involved in ascospore release from ascus	Q22281694	(1->3)-beta-D-glucan catabolic process
Q22320922	histone deacetylase activity (H3-K4 specific)	Q22283685	histone H3-K4 deacetylation
Q22324774	D-glucuronate transmembrane transporter activity	Q22290640	D-glucuronate transport
Q22324775	galacturonate transmembrane transporter activity	Q22290641	galacturonate transport
Q22324776	glucosylglycerol transmembrane transporter activity	Q22290442	glucosylglycerol transport
Q22324778	aminophospholipid flippase activity	Q66986411	aminophospholipid translocation
Q22324783	arachidonate transporter activity	Q22290657	arachidonate transport
Q22324785	propionate transmembrane transporter activity	Q22290656	propanoate transport
Q22324788	icosanoid transmembrane transporter activity	Q22290645	icosanoid transport
Q22324790	abscisic acid transporter activity	Q22290472	abscisic acid transport
Q22324792	tripeptide transporter activity	Q22290244	tripeptide transport
Q22324793	glutathione transmembrane transporter activity	Q22290249	glutathione transmembrane transport
Q22324794	dipeptide transmembrane transporter activity	Q22290234	dipeptide transmembrane transport
Q22324798	tetrapeptide transmembrane transporter activity	Q22290256	tetrapeptide transmembrane transport
Q22324799	proton-dependent peptide secondary active transmembrane transporter activity	Q21761006	hydrogen ion transmembrane transport
Q22324802	phytochelatin transporter activity	Q22290294	phytochelatin transport
Q22324804	membrane insertase activity	Q14907285	establishment of protein localization to membrane
Q22324809	holin activity	Q22271632	cytolysis by virus via pore formation in host cell membrane
Q22324811	DNA transmembrane transporter activity	Q22288464	DNA transport
Q22324812	protein-DNA complex transmembrane transporter activity	Q22291311	protein-DNA complex transport
Q22324813	lactoferrin transmembrane transporter activity	Q22291300	lactoferrin transport
Q22324817	nuclear import signal receptor activity	Q22288342	nuclear import
Q22324818	N-methylnicotinate transporter activity	Q22290326	N-methylnicotinate transport
Q22324823	neutral, basic amino acid:sodium:chloride symporter activity	Q14864717	chloride transport
Q22324825	alanine transmembrane transporter activity	Q21124455	alanine transport
Q22324830	acidic amino acid transmembrane transporter activity	Q22290582	acidic amino acid transport
Q22324832	alpha-ketoglutarate transmembrane transporter activity	Q21104647	alpha-ketoglutarate transport
Q22324834	bilirubin transmembrane transporter activity	Q22290720	bilirubin transport
Q22324836	C4-dicarboxylate transmembrane transporter activity	Q21762962	C4-dicarboxylate transport
Q22324838	fumarate transmembrane transporter activity	Q22290716	fumarate transport
Q22324847	oxaloacetate transmembrane transporter activity	Q22290612	oxaloacetate(2-) transmembrane transport
Q22324851	malonate(1-) transmembrane transporter activity	Q22290602	malonic acid transmembrane transport
Q22324853	isopropylmalate transmembrane transporter activity	Q22290506	isopropylmalate transport
Q22324854	tricarboxylic acid transmembrane transporter activity	Q21124418	tricarboxylic acid transmembrane transport
Q22324864	cadaverine transmembrane transporter activity	Q22291938	cadaverine transport
Q22324872	homoserine transmembrane transporter activity	Q22290673	homoserine transport
Q22324873	beta-alanine transmembrane transporter activity	Q22290686	beta-alanine transport
Q22324875	D-amino acid transmembrane transporter activity	Q22290667	D-amino acid transport
Q22324876	D-alanine transmembrane transporter activity	Q21116219	D-alanine transport
Q22324879	L-diaminopimelate transmembrane transporter activity	Q22290706	diaminopimelate transport
Q22324883	S-methylmethionine transmembrane transporter activity	Q22292148	S-methylmethionine transport
Q22324885	acetate transmembrane transporter activity	Q22290591	acetate transmembrane transport
Q29573143	ryanodine-sensitive calcium-release channel activity involved in regulation of postsynaptic cytosolic calcium levels	Q22243228	regulation of postsynaptic cytosolic calcium ion concentration
Q29573144	inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels	Q22243228	regulation of postsynaptic cytosolic calcium ion concentration
Q29573209	microtubule plus end polymerase	Q14330650	microtubule cytoskeleton organization
Q29573215	DNA clamp unloader activity	Q22295913	DNA clamp unloading
Q29574086	D-aspartate transmembrane transporter activity	Q22290669	D-aspartate transport
Q22324888	allantoate transmembrane transporter activity	Q22290102	allantoate transport
Q22324890	(R)-carnitine transmembrane transporter activity	Q22290331	(R)-carnitine transmembrane transport
Q22324893	3-phenylpropionic acid transmembrane transporter activity	Q22290636	3-phenylpropionic acid transport
Q22324895	shikimate transmembrane transporter activity	Q22290447	shikimate transport
Q22324897	glycolate transmembrane transporter activity	Q22290434	glycolate transmembrane transport
Q22324898	phosphoenolpyruvate transmembrane transporter activity	Q22290350	phosphoenolpyruvate transmembrane transport
Q22324903	methylammonium transmembrane transporter activity	Q22290738	methylammonium transmembrane transport
Q22324909	glycine betaine:proton symporter activity	Q21763183	glycine betaine transport
Q22324910	myo-inositol transmembrane transporter activity	Q21121866	myo-inositol transport
Q22324915	cytosine transmembrane transporter activity	Q22290420	cytosine transport
Q22324925	uracil transmembrane transporter activity	Q22290417	uracil transmembrane transport
Q22324927	allantoin:proton symporter activity	Q22290097	allantoin transport
Q22324928	auxin transmembrane transporter activity	Q22292991	auxin transport
Q22324953	voltage-gated potassium channel activity involved in SA node cell action potential depolarization	Q14905724	membrane depolarization during SA node cell action potential
Q22324954	voltage-gated potassium channel activity involved in Purkinje myocyte action potential repolarization	Q22292774	membrane repolarization during Purkinje myocyte action potential
Q22324955	voltage-gated potassium channel activity involved in AV node cell action potential repolarization	Q22292764	membrane repolarization during AV node cell action potential
Q22324959	spermine transmembrane transporter activity	Q22290733	spermine transmembrane transport
Q22324962	mercury ion transmembrane transporter activity	Q22293113	mercury ion transport
Q22324966	voltage-gated calcium channel activity involved in Purkinje myocyte cell action potential	Q21111384	membrane depolarization during Purkinje myocyte cell action potential
Q22324967	voltage-gated calcium channel activity involved in AV node cell action potential	Q21111383	membrane depolarization during AV node cell action potential
Q22324968	voltage-gated calcium channel activity involved in bundle of His cell action potential	Q21111385	membrane depolarization during bundle of His cell action potential
Q22324970	light-activated voltage-gated calcium channel activity	Q14865170	calcium-mediated signaling
Q22324971	voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels	Q14821006	regulation of cytosolic calcium ion concentration
Q22324973	trivalent inorganic cation transmembrane transporter activity	Q22293100	trivalent inorganic cation transport
Q22324975	aluminum ion transmembrane transporter activity	Q22292919	aluminum ion transmembrane transport
Q22324982	cyanate transmembrane transporter activity	Q22290744	cyanate transport
Q22324987	glucose 6-phosphate:phosphate antiporter activity	Q14887301	glucose transmembrane transporter activity
Q52408101	G-protein coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential	Q22243624	regulation of presynaptic membrane potential
Q54809672	RNA polymerase II general transcription initiation factor activity	Q14864650	transcription from RNA polymerase II promoter
Q22324995	silicate transmembrane transporter activity	Q22293020	silicate transport
Q22324998	antimonite transmembrane transporter activity	Q22293015	antimonite transport
Q22324999	chlorate transmembrane transporter activity	Q22293032	chlorate transport
Q22325002	fluoride transmembrane transporter activity	Q22292794	fluoride transmembrane transport
Q22325003	sulfite transmembrane transporter activity	Q22292967	sulfite transport
Q22325006	borate efflux transmembrane transporter activity	Q21135412	borate transmembrane transport
Q22325007	triose-phosphate transmembrane transporter activity	Q22290346	triose phosphate transmembrane transport
Q22325011	arsenate ion transmembrane transporter activity	Q21109084	arsenate ion transmembrane transport
Q22325020	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	Q22243624	regulation of presynaptic membrane potential
Q22325021	xanthine transmembrane transporter activity	Q22290422	xanthine transport
Q22325022	lactone transmembrane transporter activity	Q22290319	lactone transport
Q22325023	3-hydroxyphenyl propanoate transmembrane transporter activity	Q22290446	3-hydroxyphenyl propanoate transport
Q22325025	propanediol transmembrane transporter activity	Q22290441	propanediol transport
Q22325027	nucleic acid transmembrane transporter activity	Q22292056	nucleic acid transport
Q22325028	tRNA transmembrane transporter activity	Q22292071	tRNA transport
Q22325029	auxin influx transmembrane transporter activity	Q22292683	auxin influx
Q22325030	auxin efflux transmembrane transporter activity	Q22292997	auxin efflux
Q22325032	synaptic vesicle amine transmembrane transporter activity	Q14916236	aminergic neurotransmitter loading into synaptic vesicle
Q22325033	chromaffin granule amine transmembrane transporter activity	Q22290736	chromaffin granule amine transport
Q22325035	alkylphosphonate transmembrane transporter activity	Q21761481	alkylphosphonate transport
Q22325055	gap junction channel activity involved in bundle of His cell-Purkinje myocyte electrical coupling	Q21113145	bundle of His cell to Purkinje myocyte communication by electrical coupling
Q22325056	gap junction channel activity involved in Purkinje myocyte-ventricular cardiac muscle cell electrical coupling	Q22298086	Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling
Q22325057	gap junction channel activity involved in atrial cardiac muscle cell-AV node cell electrical coupling	Q22298087	atrial cardiac muscle cell to AV node cell communication by electrical coupling
Q22325058	gap junction channel activity involved in SA node cell-atrial cardiac muscle cell electrical coupling	Q22298088	SA node cell to atrial cardiac muscle cell communication by electrical coupling
Q22325059	mobile ion carrier activity	Q14865154	ion transmembrane transport
Q22322692	mRNA methyltransferase activity	Q21117257	mRNA methylation
Q22324353	cytidylate cyclase activity	Q14888939	cyclic nucleotide biosynthetic process
Q22320648	glycine betaine-transporting ATPase activity	Q21763183	glycine betaine transport
Q22320649	methionine transmembrane transporter activity	Q21125089	methionine transport
Q22320652	D-methionine transmembrane transporter activity	Q22290670	D-methionine transport
Q22320657	carbohydrate derivative transporter activity	Q21121277	carbohydrate derivative transport
Q22320663	bacteriocin transmembrane transporter activity	Q22290203	bacteriocin transport
Q22320667	oligopeptide transmembrane transporter activity	Q21111797	oligopeptide transmembrane transport
Q22320668	phytochelatin transmembrane transporter activity	Q22290295	phytochelatin transmembrane transport
Q22320669	phytochelatin transmembrane transporter ATPase activity	Q22290295	phytochelatin transmembrane transport
Q22320670	beta-glucan transmembrane transporter activity	Q22292343	beta-glucan transport
Q22320673	lipopolysaccharide-transporting ATPase activity	Q14907572	lipopolysaccharide transport
Q22320674	capsular polysaccharide transmembrane transporter activity	Q22292340	capsular polysaccharide transport
Q22320676	teichoic acid transmembrane transporter activity	Q22292492	teichoic acid transport
Q22320677	teichoic-acid-transporting ATPase activity	Q22292492	teichoic acid transport
Q22320678	vitamin transmembrane transporter activity	Q21106649	vitamin transmembrane transport
Q22320681	polyamine transmembrane transporter activity	Q22290730	polyamine transmembrane transport
Q22320682	iron chelate transmembrane transporter activity	Q14864012	iron assimilation by chelation and transport
Q22320683	2-aminoethylphosphonate transmembrane transporter activity	Q22292176	2-aminoethylphosphonate transport
Q22320685	amide transmembrane transporter activity	Q21095687	amide transport
Q22320688	organic acid transmembrane transporter activity	Q21109069	organic acid transmembrane transport
Q22320692	hydroxyectoine transmembrane transporter activity	Q22290461	hydroxyectoine transport
Q22320693	hydroxyectoine-transporting ATPase activity	Q22290461	hydroxyectoine transport
Q22320694	ectoine transmembrane transporter activity	Q22290663	ectoine transport
Q22320695	ectoine-transporting ATPase activity	Q22290663	ectoine transport
Q22320696	guanine transmembrane transporter activity	Q22290427	guanine transmembrane transport
Q22320699	carbohydrate transmembrane transporter activity	Q21121265	carbohydrate transmembrane transport
Q22320701	oligosaccharide transmembrane transporter activity	Q22292230	oligosaccharide transport
Q22320703	maltose-transporting ATPase activity	Q24467459	maltose transmembrane transport
Q22320705	oligogalacturonide transmembrane transporter activity	Q22292324	oligogalacturonide transport
Q22320707	monosaccharide transmembrane transporter activity	Q22290634	monosaccharide transport
Q22320710	D-ribose transmembrane transporter activity	Q22292352	D-ribose transport
Q22320714	allose transmembrane transporter activity	Q22292370	allose transport
Q22320716	D-xylose transmembrane transporter activity	Q21978327	D-xylose transport
Q22320718	rhamnose transmembrane transporter activity	Q22292367	rhamnose transport
Q22320723	daunorubicin-transporting ATPase activity	Q22290410	daunorubicin transport
Q22320724	glycerol-2-phosphate-transporting ATPase activity	Q22290358	glycerol-2-phosphate transport
Q22320732	sphingolipid-translocating ATPase activity	Q26250722	sphingolipid translocation
Q22324532	retroviral strand transfer activity	Q22315685	retroviral integrase activity
Q22324536	cyclic 2,3-diphosphoglycerate synthetase activity	Q22283092	cyclic 2,3-bisphospho-D-glycerate biosynthetic process
Q22324539	phytoene synthase activity	Q22282879	carotene biosynthetic process
Q22324556	light transducer activity	Q14859559	detection of light stimulus
Q22324588	D-alanyl carrier activity	Q22283166	teichoic acid D-alanylation
Q22324590	chemoattractant activity involved in axon guidance	Q21134292	chemoattraction of axon
Q22324592	acetate ester transmembrane transporter activity	Q22291935	acetate ester transport
Q22324598	ferric triacetylfusarinine C:proton symporter activity	Q22291964	ferric triacetylfusarinine C transport
Q22324601	ferrichrome transporter activity	Q22290093	ferrichrome transport
Q22324602	chrysobactin transporter activity	Q22290225	chrysobactin transport
Q22324603	cofactor transporter activity	Q21134384	cofactor transport
Q22324604	achromobactin transporter activity	Q22290629	achromobactin transport
Q22324605	drug transporter activity	Q14865105	drug transport
Q22324607	benomyl transmembrane transporter activity	Q22290303	benomyl transmembrane transport
Q22324608	drug:proton antiporter activity	Q14905073	drug export
Q22324610	alkanesulfonate transporter activity	Q22290322	alkanesulfonate transport
Q22324611	3-hydroxyphenylpropionic acid transporter activity	Q22290320	3-hydroxyphenylpropionic acid transport
Q22324612	acridine transporter activity	Q22290321	acridine transport
Q22324614	acriflavine transporter activity	Q22290324	acriflavine transport
Q22324615	nalidixic acid transporter activity	Q22290325	nalidixic acid transport
Q22324616	alkane transporter activity	Q22290412	alkane transport
Q22324617	fatty-acyl-CoA transporter activity	Q22292202	fatty-acyl-CoA transport
Q22324619	amiloride transporter activity	Q21422712	amiloride transport
Q22324621	cycloheximide transporter activity	Q22290301	cycloheximide transport
Q22324626	azole transmembrane transporter activity	Q22290298	azole transport
Q22324630	fluconazole transporter activity	Q22290460	fluconazole transport
Q22324632	microcin uptake transporter activity	Q22290186	microcin transport
Q22324638	sulfathiazole transmembrane transporter activity	Q22290300	sulfathiazole transmembrane transport
